Group,Trial,Block,OneOption,Phase,BlockPhase,Frame_type,Target,Prompt,Audio_name,Picture,Gif1,Gif2,ReferentTarget,AttentionGrabber,AG_URL,AttentionGrabber_sound,,,,,,,,,,
B2,22,3,N,Filler,1Filler,Mismatch,find the dog,dog,"Where is the dog, find the dog?",find_dog.wav,,dog.png,fish.png,Gif1,elmo.gif,,,,,,,,,,,
B2,23,3,N,Test,1Test,transitive,mipe,Find miping.,find_miping.mp3,,robot_dance.gif,lift_arm_caus.gif,Gif1,attentiongrabber.gif,,chimes.mp3,,,,,,,,,,
B2,24,4,Y,Exposure,1Exposure,intransitive,nade,"Look, the boy and the girl nade together everyday. Wow, they really like to riv together.",nade_intr.mp3,squat_caus.gif,,,,,,,,,,,,,,,,
B2,25,4,N,Filler,1Filler,find the fish,fish,"Where is the fish, find the fish?",find_fish.mp3,,dog.png,fish.png,Gif2,elmo.gif,,ElmoYeah.mp3,,,,,,,,,,
B2,25,4,N,Filler,1Filler,Mismatch,find the fish,fish,"Where is the fish, find the fish?",find_fish.wav,,dog.png,fish.png,Gif2,elmo.gif,,,,,,,,,,,
B2,26,4,Y,Exposure,1Exposure,intransitive,nade,"Look, the boy and the girl nade together everyday. Wow, they really like to nade together.",nade_intr.mp3,squat_caus.gif,,,,,,,,,,,,,,,,
B2,27,4,N,Filler,1Filler,find the car,car,"Where is the car, find the car?",find_car.mp3,,car.png,shoe.png,Gif1,attentiongrabber.gif,,chimes.mp3,,,,,,,,,,
B2,27,4,N,Filler,1Filler,Mismatch,find the car,car,"Where is the car, find the car?",find_car.wav,,car.png,shoe.png,Gif1,attentiongrabber.gif,,,,,,,,,,,
B2,28,4,N,Test,1Test,intransitive,nade,Find nading.,find_nading.mp3,,jump_to_split.gif,ear_spin_caus.gif,Gif2,elmo.gif,,ElmoYeah.mp3,,,,,,,,,,
B3,9,1,Y,Exposure,1Exposure,transitive,lorp,"Look, sometimes, the boy lorps the girl. Wow, the boy really likes to lorp the girl.",boy_lorp_girl.mp3,wiggle_ear_short.gif,,,,,,,,,,,,,,,,
B3,10,1,N,Filler,1Filler,find the dog,dog,"Where is the dog, find the dog?",find_dog.mp3,,dog.png,fish.png,Gif1,attentiongrabber.gif,,chimes.mp3,,,,,,,,,,
B3,10,1,N,Filler,1Filler,Mismatch,find the dog,dog,"Where is the dog, find the dog?",find_dog.wav,,dog.png,fish.png,Gif1,attentiongrabber.gif,,,,,,,,,,,
B3,11,1,Y,Exposure,1Exposure,transitive,lorp,"Look, sometimes, the boy lorps the girl. Wow, the boy really likes to lorp the girl.",boy_lorp_girl.mp3,wiggle_ear_short.gif,,,,,,,,,,,,,,,,
B3,12,1,N,Filler,1Filler,find the shoe,shoe,"Where is the shoe, find the shoe?",find_shoe.mp3,,car.png,shoe.png,Gif2,elmo.gif,,ElmoYeah.mp3,,,,,,,,,,
B3,12,1,N,Filler,1Filler,Mismatch,find the shoe,shoe,"Where is the shoe, find the shoe?",find_shoe.wav,,car.png,shoe.png,Gif2,elmo.gif,,,,,,,,,,,
B3,13,1,N,Test,1Exposure,transitive,lorp,Find lorping.,find_lorping.mp3,,stomp.gif,squat_caus.gif,Gif1,attentiongrabber.gif,,chimes.mp3,,,,,,,,,,
B3,14,2,Y,Exposure,1Exposure,intransitive,pim,"Look, the boy and the girl like to pim together sometimes. Really they pim together a lot.",pim_intr.mp3,lift_head_caus.gif,,,,,,,,,,,,,,,,
B3,15,2,N,Filler,1Filler,find the car,car,"Where is the car, find the car?",find_car.mp3,,car.png,shoe.png,Gif1,elmo.gif,,ElmoYeah.mp3,,,,,,,,,,
B3,15,2,N,Filler,1Filler,Mismatch,find the car,car,"Where is the car, find the car?",find_car.wav,,car.png,shoe.png,Gif1,elmo.gif,,,,,,,,,,,
B3,16,2,Y,Exposure,1Exposure,intransitive,pim,"Look, the boy and the girl like to pim together sometimes. Really they pim together a lot.",pim_intr.mp3,lift_head_caus.gif,,,,,,,,,,,,,,,,
